Link,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2016 (est.),2017 (est.),2018 (est.),2019 (est.),2020 (est.),County,State
"https://en.wikipedia.org/wiki/Yavapai_County,_Arizona",,,,,,,,,"2,142","5,013","8,685","13,799","15,996","24,016","28,470","26,511","24,991","28,912","36,733","68,145","107,714","167,517","211,033",,,,"235,099",,Yavapai County, Arizona
"https://en.wikipedia.org/wiki/Yuma_County,_Arizona",,,,,,,,,"1,621","3,215","2,671","4,145","7,733","14,904","17,816","19,326","28,006","46,235","60,827","90,554","106,895","160,026","195,751",,,,"213,787",,Yuma County, Arizona
"https://en.wikipedia.org/wiki/Arkansas_County,_Arkansas",,,,,"1,426","1,346","3,245","8,844","8,268","8,038","11,432","12,973","16,103","21,483","22,300","24,437","23,665","23,355","23,347","24,175","21,653","20,749","19,019",,,,"17,486",,Arkansas County, Arkansas
"https://en.wikipedia.org/wiki/Ashley_County,_Arkansas",,,,,,,"2,058","8,590","8,042","10,156","13,295","19,734","25,268","23,410","25,151","26,785","25,660","24,220","24,976","26,538","24,319","24,209","21,853",,,,"19,657",,Ashley County, Arkansas
"https://en.wikipedia.org/wiki/Baxter_County,_Arkansas",,,,,,,,,,"6,004","8,527","9,298","10,389","10,216","9,519","10,281","11,683","9,943","15,319","27,409","31,186","38,386","41,513",,,,"41,932",,Baxter County, Arkansas
"https://en.wikipedia.org/wiki/Benton_County,_Arkansas",,,,,,"2,228","3,710","9,306","13,831","20,328","27,716","31,611","33,389","36,253","35,253","36,148","38,076","36,272","50,476","78,115","97,499","153,406","221,339",,,,"279,141",,Benton County, Arkansas
"https://en.wikipedia.org/wiki/Boone_County,_Arkansas",,,,,,,,,"7,032","12,146","15,816","16,396","14,318","16,098","14,937","15,860","16,260","16,116","19,073","26,067","28,297","33,948","36,903",,,,"37,432",,Boone County, Arkansas
"https://en.wikipedia.org/wiki/Bradley_County,_Arkansas",,,,,,,"3,829","8,388","8,646","6,285","7,972","9,651","14,518","15,970","17,494","18,097","15,987","14,029","12,778","13,803","11,793","12,600","11,508",,,,"10,763",,Bradley County, Arkansas
"https://en.wikipedia.org/wiki/Calhoun_County,_Arkansas",,,,,,,,"4,103","3,853","5,671","7,267","8,539","9,894","11,807","9,752","9,636","7,132","5,991","5,573","6,079","5,826","5,744","5,368",,,,"5,189",,Calhoun County, Arkansas
"https://en.wikipedia.org/wiki/Carroll_County,_Arkansas",,,,,,"2,844","4,614","9,383","5,780","13,337","17,288","18,848","16,829","17,786","15,820","14,737","13,244","11,284","12,301","16,203","18,654","25,357","27,446",,,,"28,380",,Carroll County, Arkansas
"https://en.wikipedia.org/wiki/Chicot_County,_Arkansas",,,,,"1,165","3,806","5,115","9,234","7,214","10,117","11,419","14,528","21,987","21,749","22,646","27,452","22,306","18,990","18,164","17,793","15,713","14,117","11,800",,,,"10,118",,Chicot County, Arkansas
"https://en.wikipedia.org/wiki/Clark_County,_Arkansas",,,,,"1,369","2,309","4,070","9,735","11,953","15,771","20,997","21,289","23,686","25,632","24,932","24,402","22,998","20,950","21,537","23,326","21,437","23,546","22,995",,,,"22,320",,Clark County, Arkansas
"https://en.wikipedia.org/wiki/Clay_County,_Arkansas",,,,,,,,,,"7,213","12,200","15,886","23,690","27,276","27,278","28,386","26,674","21,258","18,771","20,616","18,107","17,609","16,083",,,,"14,551",,Clay County, Arkansas
"https://en.wikipedia.org/wiki/Cleburne_County,_Arkansas",,,,,,,,,,,"7,884","9,628","11,903","12,696","11,373","13,134","11,487","9,059","10,349","16,909","19,411","24,046","25,850",,,,"24,919",,Cleburne County, Arkansas
"https://en.wikipedia.org/wiki/Cleveland_County,_Arkansas",,,,,,,,,,,"11,362","11,620","13,481","12,260","12,744","12,570","8,956","6,944","6,605","7,868","7,781","8,571","8,689",,,,"7,956",,Cleveland County, Arkansas
"https://en.wikipedia.org/wiki/Columbia_County,_Arkansas",,,,,,,,"12,449","11,397","14,090","19,893","22,077","23,820","27,670","27,320","29,822","28,770","26,400","25,952","26,644","25,691","25,603","24,552",,,,"23,457",,Columbia County, Arkansas
"https://en.wikipedia.org/wiki/Conway_County,_Arkansas",,,,,982,"2,892","3,583","6,697","8,112","12,755","19,459","19,772","22,729","22,578","21,949","21,536","18,137","15,430","16,805","19,505","19,151","20,336","21,273",,,,"20,846",,Conway County, Arkansas
"https://en.wikipedia.org/wiki/Craighead_County,_Arkansas",,,,,,,,"3,066","4,577","7,037","12,025","19,505","27,627","37,541","44,740","47,200","50,613","47,303","52,068","63,239","68,956","82,148","96,443",,,,"110,332",,Craighead County, Arkansas
"https://en.wikipedia.org/wiki/Crawford_County,_Arkansas",,,,,"2,440","4,266","7,960","7,850","8,957","14,740","21,714","21,270","23,942","25,739","22,549","23,920","22,727","21,318","25,677","36,892","42,493","53,247","61,948",,,,"63,257",,Crawford County, Arkansas
"https://en.wikipedia.org/wiki/Crittenden_County,_Arkansas",,,,,"1,272","1,561","2,648","4,920","3,831","9,415","13,940","14,529","22,447","29,309","39,717","42,473","47,184","47,564","48,106","49,499","49,939","50,866","50,902",,,,"47,955",,Crittenden County, Arkansas
"https://en.wikipedia.org/wiki/Cross_County,_Arkansas",,,,,,,,,"3,915","5,050","7,693","11,051","14,042","18,579","25,723","26,046","24,757","19,551","19,783","20,434","19,225","19,526","17,870",,,,"16,419",,Cross County, Arkansas
"https://en.wikipedia.org/wiki/Dallas_County,_Arkansas",,,,,,,"6,877","8,283","5,707","6,505","9,296","11,518","12,621","14,424","14,671","14,471","12,416","10,522","10,022","10,515","9,614","9,210","8,116",,,,"7,009",,Dallas County, Arkansas
"https://en.wikipedia.org/wiki/Desha_County,_Arkansas",,,,,,"1,598","2,911","6,459","6,125","8,973","10,324","11,511","15,274","20,297","21,814","27,160","25,155","20,770","18,761","19,760","16,798","15,341","13,008",,,,"11,361",,Desha County, Arkansas
"https://en.wikipedia.org/wiki/Drew_County,_Arkansas",,,,,,,"3,276","9,078","9,960","12,231","17,352","19,451","21,960","21,822","19,928","19,831","17,959","15,213","15,157","17,910","17,369","18,723","18,509",,,,"18,219",,Drew County, Arkansas
"https://en.wikipedia.org/wiki/Faulkner_County,_Arkansas",,,,,,,,,,"12,786","18,342","20,780","23,708","27,681","28,381","25,880","25,289","24,303","31,572","46,192","60,006","86,014","113,237",,,,"126,007",,Faulkner County, Arkansas
