Year,State,Census population
1960,Michigan,7823194
1970,Michigan,8875083
1980,Michigan,9262078
1990,Michigan,9295297
2000,Michigan,9938444
2010,Michigan,9883640
1960,Minnesota,3413864
1970,Minnesota,3804971
1980,Minnesota,4075970
1990,Minnesota,4375099
2000,Minnesota,4919479
2010,Minnesota,5303925
1960,Mississippi,2178141
1970,Mississippi,2216912
1980,Mississippi,2520638
1990,Mississippi,2573216
2000,Mississippi,2844658
2010,Mississippi,2967297
1960,Missouri,4319813
1970,Missouri,4676501
1980,Missouri,4916686
1990,Missouri,5117073
2000,Missouri,5595211
2010,Missouri,5988927
1960,Montana,674767
1970,Montana,694409
1980,Montana,786690
1990,Montana,799065
2000,Montana,902195
2010,Montana,989415
1960,Nebraska,1411330
1970,Nebraska,1483493
1980,Nebraska,1569825
1990,Nebraska,1578385
2000,Nebraska,1711263
2010,Nebraska,1826341
1960,Nevada,285278
1970,Nevada,488738
1980,Nevada,800493
1990,Nevada,1201833
2000,Nevada,1998257
2010,Nevada,2700551
1960,New Hampshire,606921
1970,New Hampshire,737681
1980,New Hampshire,920610
1990,New Hampshire,1109252
2000,New Hampshire,1235786
2010,New Hampshire,1316470
1960,New Jersey,6066782
1970,New Jersey,7168164
1980,New Jersey,7364823
1990,New Jersey,7730188
2000,New Jersey,8414350
2010,New Jersey,8791894
1960,New Mexico,951023
1970,New Mexico,1016000
